focus_group_subtype,focus_group_subtype_id,doc_no_within_subtype,question_id,question_text,parent_num,parent_answer
social_group,4,1,1,"how was technology used for educational purposes for your kids before the pandemic, how did that change during the pandemic, and what were your concerns before and during, or what were the benefits before and during? So does anyone want to start us off? ",3,"Yes. So for me, they were a very big distraction before the pandemic, and it's a far worse distraction now to the point that I feel, and I've shared this with other parents, that kids can easily switch from one screen to the other and they're easily distracted. And unless you're there behind them, they can be on Instagram and whatnot all day basically. And because they hear the teacher speak, they know when to switch back. So I think the distraction was always there but they were not distracted in class so to speak, unless they were allowed to use their phones, which they don't, unless they cheat but it's been not good. I think the distraction has been detrimental to their learning this whole year. So yes, it's a great resource, they can learn anything, they can find anything. But if they don't have the maturity to say no, I'm not going to be browsing the internet while I'm supposed to be in class, it's useless to have them ... Just not good"
social_group,4,1,1,"how was technology used for educational purposes for your kids before the pandemic, how did that change during the pandemic, and what were your concerns before and during, or what were the benefits before and during? So does anyone want to start us off? ",4,"Okay, great. So I have three children. Two go to charter schools and one is in Catholic high school. And I think a big part of how each of them have responded to the technology aspect has a lot to do with the structure of the school. So my son who's in Monsignor Farrell who, he is the one who completed the Healthy Brain Network assessment, his school makes you stay on video, in uniform, they take attendance every class, they continue to watch you and see what you're doing and comment the same way they would as if you were in school. So if you are dosing off, if you're not looking at the camera, if it looks like you're looking down in your lap, they'll say something to you to address it.

My other two who are in charter schools, you might as well teaching to a bowl of jello because they are 100% having conversations on every social media platform, playing Roblox, planning the rest of their day. So I agree but I do think so my experience has been a mixed one, but I think that there is way for technology to be helpful when you have to as long as you have"
social_group,4,1,1,"how was technology used for educational purposes for your kids before the pandemic, how did that change during the pandemic, and what were your concerns before and during, or what were the benefits before and during? So does anyone want to start us off? ",2,"Yeah, I have a 10-year-old who has an IEP and unfortunately, a lot of his needs aren't being met through the computer. They're trying but he has OT and he spends more time screaming and crying that he can't do it with her as opposed to actually getting the [inaudible 00:20:08] twice a week. They're now in person, five days a week so that is has been huge. They're more held accountable at school, they can't take their phone out. So at home, I mean, I'm working from home, I have three kids at home, screaming at them all day to get on their computer, make sure you're doing your work, it doesn't work. And the private schools are working way better than public schools, absolutely like 100%"
social_group,4,1,1,"how was technology used for educational purposes for your kids before the pandemic, how did that change during the pandemic, and what were your concerns before and during, or what were the benefits before and during? So does anyone want to start us off? ",2,"The fact that the kids are going to school, there is not really a lot of remote teaching, they're actually in-person teaching and they have separate remote teachers for the remote kids. So the in-person kids are actually learning. Like I said, my two boys now are in person. They are learning and the teachers are there which is good and they're really getting something out of it, but it's only been for maybe the last month. So one month doesn't make up for a whole"
social_group,4,1,1,"how was technology used for educational purposes for your kids before the pandemic, how did that change during the pandemic, and what were your concerns before and during, or what were the benefits before and during? So does anyone want to start us off? ",1,"We broke it down within the positive and negative aspect but my daughter also has an IEP and I find that I, myself am struggling because I'm working from home as well and my daughter has ADHD. It's impossible for me to sit here from 9:00 to 5:00 and look at this screen and I'm continuously getting up. So she sits there from 8:00 a.m. literally to extra, extra help to 5:00 or 6:00. I'm sorry but it's impossible to sit all day here just looking at a screen. And it's not the same interaction. And I think teachers don't have a lot of patience. They're overwhelmed as well. Like I said, I have to keep reinforcing, telling her continue, what are you doing? And it's just a lot of me as far as I'm also working as well and I have another one that's learning downstairs, so it's a struggle but it hasn't been the same. And she's struggling in one subject which she wasn't before so it's hard"
social_group,4,1,1,"how was technology used for educational purposes for your kids before the pandemic, how did that change during the pandemic, and what were your concerns before and during, or what were the benefits before and during? So does anyone want to start us off? ",1,"Yeah, most definitely because she's distracted a lot. Every 15 minutes, you have to keep, Parent 1, Child 1 continue, keep it moving, what are you doing? All day long. So with me, it's constant oversight. I feel like she's losing out because she's not getting the same interaction that she had when she was in school, she's not getting the services that"
social_group,4,1,1,"how was technology used for educational purposes for your kids before the pandemic, how did that change during the pandemic, and what were your concerns before and during, or what were the benefits before and during? So does anyone want to start us off? ",2,"My son's IEP, he has ADHD as well and on his IEP, he's got constant prompts. I can't prompt him every 15 minutes when he's distracted, I have a job. This remote thing does not work"
social_group,4,1,1,"how was technology used for educational purposes for your kids before the pandemic, how did that change during the pandemic, and what were your concerns before and during, or what were the benefits before and during? So does anyone want to start us off? ",1,"They're not reaching their full potential. And my daughter. My daughter is very athletic, and not doing the sports is affecting her immensely"
social_group,4,1,1,"how was technology used for educational purposes for your kids before the pandemic, how did that change during the pandemic, and what were your concerns before and during, or what were the benefits before and during? So does anyone want to start us off? ",2,"The sports coming back has been a tremendous help because I mean now at least my boys see that if they don't participate more at school and focus more, then the sports don't happen. I use it as leverage, thank, god. Because god knows we can't use the computer as leverage. They need it for work and then they go on side track and go on their stuff. Yeah, they can't prompt the kid on the Zoom meet or the Google Classroom because if they prompt him then they're calling out on the kid and then that's like now they're picking on them so that's a problem, too"
social_group,4,1,2,"As we look towards hopefully complete return in person to in-person instruction, what parts of using technology for education would you like to see stay and what parts would you like to do away with",1,"Every time my daughter has a term paper or something to do, I mean in my mind, it's like cheating just googling stuff. I like the way I went to school, I had to actually read a book, I actually had to do research. So I find that frustrating, I don't think that, that's really mentally helping her to get to the next level when it's just googling everything and then now, these kids know how to get to websites and get a term paper written for them. It's a lot of cheating going on. It's a lot of cheating, that's another one. But all these tests, there's a lot of room for kids. There is a lot of room"
social_group,4,1,2,"As we look towards hopefully complete return in person to in-person instruction, what parts of using technology for education would you like to see stay and what parts would you like to do away with",1,"But now, like I said, now that she's home, she's doing shortcuts. And then I see her, ask her what's the meaning of a word, she'll google it really quickly on her phone, really quickly. It's like they're not getting the full aspect, they're just trying to get it over with"
social_group,4,1,2,"As we look towards hopefully complete return in person to in-person instruction, what parts of using technology for education would you like to see stay and what parts would you like to do away with",2,"We work with a program called i-Ready, and we were just informed, one of the kids showed us how he can go into the program and change his grades"
social_group,4,1,2,"As we look towards hopefully complete return in person to in-person instruction, what parts of using technology for education would you like to see stay and what parts would you like to do away with",3,"I would like to also see things go back to not before but to the way we used to do things. We used to pick up a book and a notebook. [crosstalk 00:27:12] We used to underline things and then jot down notes and read. And all this technology, all they need ... My son is all day, Alexa this, Alexa that. There you go. [crosstalk 00:27:31] Now Alexa's talking. Alexa stop"
