focus_group_subtype,focus_group_subtype_id,doc_no_within_subtype,question_id,question_text,parent_num,parent_answer,sentiment
gaming_group,1,1,1,"So, I was thinking we could start by just going around and introducing ourselves. Maybe say the ages of your kids, and then if you would like to share a recommendation of a TV show or a movie that you have really enjoyed over the pandemic, feel free to do that as well.",5,"Sure. Hi. My name is Parent 5. I have three kids, 17, 13 and nine, all boys. A good show that I started watching over the pandemic is called The Repair Shop, and if you want to see a show about nothing except things being fixed, it's a good show",positive
gaming_group,1,1,1,"So, I was thinking we could start by just going around and introducing ourselves. Maybe say the ages of your kids, and then if you would like to share a recommendation of a TV show or a movie that you have really enjoyed over the pandemic, feel free to do that as well.",1,"Hi everyone. My name is Parent 1, I have two boys, a 8-year-old and almost 3-year-old. I think the most recent show that I personally watched with no children around was Schitt's Creek, which was amazing and helped me get through all these difficult times lately. I was a little bit late to the party, I started watching it maybe a month or two ago, but I could not stop. Even if the work hours were late, I had to make sure I'll catch an episode before I go sleep. With the kids, well with the older kid, I think a few months ago we watched Floor Is Lava on Netflix, which was fun to watch as a family. Besides that, I think my son watches lots of Marvel type things with my husband, which I don't participate in.",negative
gaming_group,1,1,1,"So, I was thinking we could start by just going around and introducing ourselves. Maybe say the ages of your kids, and then if you would like to share a recommendation of a TV show or a movie that you have really enjoyed over the pandemic, feel free to do that as well.",3,"Hi everybody. My name is Parent 3 and I have an 11-year-old daughter and an 8-year-old son. We don't watch television together at all, it's just for me. They Roblox with their friends and that's all they do. I've watched a couple of foreign things my friends have recommended, but I'd love to recommend a series, it's long but it's amazing, it's called Orphan Black. It's been around for a little while, it's produced by the BBC. It's sci-if and it's about cloning. It has five seasons. It's a real deep dive, but it's incredible and now it just won an Emmy. So I'll say Orphan Black, it's really great.",negative
gaming_group,1,1,1,"So, I was thinking we could start by just going around and introducing ourselves. Maybe say the ages of your kids, and then if you would like to share a recommendation of a TV show or a movie that you have really enjoyed over the pandemic, feel free to do that as well.",4,"Hi, I'm Parent 4, I have a 15-year-old daughter and a 13-year-old son. One of the shows I recently just got into was Big Sky, it just started, it's a few episodes in. It's a new show, so far so good.",positive
gaming_group,1,1,1,"So, I was thinking we could start by just going around and introducing ourselves. Maybe say the ages of your kids, and then if you would like to share a recommendation of a TV show or a movie that you have really enjoyed over the pandemic, feel free to do that as well.",2,"Oh, I'm sorry. I lost connection, I couldn't hear anyone. My name is Parent 2, I have a 17-year-old, he's actually my step-son and I have two 10-year-old boys and I have a 3-year-old girl. What shows have I been watching... I've been watching a few things, but most recently I've been binge watching 9-1-1, it's a drama about 911 operators and I guess the LAFD and LAPD, and all the things that they go through. I can't say why would I want to watch that, I don't know, especially during these times. I have no idea why I watch, but it's just interesting and I learn things from watching it. But yeah, and then with my children, they've been watching Fresh Prince of Bel-Air, I don't know if anyone's familiar with that-",negative
gaming_group,1,1,1,"So, I was thinking we could start by just going around and introducing ourselves. Maybe say the ages of your kids, and then if you would like to share a recommendation of a TV show or a movie that you have really enjoyed over the pandemic, feel free to do that as well.",2,"[crosstalk 00:12:42] series. Yes. My 10-year-olds, they love it. A certain time of the day, we all as a family will watch it. We actually finished that and now they're watching a show called Fresh Off the Boat. It's a newer show on ABC. Yeah, so those are the things we've been watching.",positive
gaming_group,1,1,2,"We thought that a good way to start might be if everyone could just grab a paper and pencil and try to write down three positive ways that technology has impacted you since the start of the pandemic, and two or three negative ways that technology has impacted you since the start of the pandemic. And then we'll talk about it.",2,"Oh okay. Well, they didn't use it as much. I mean, the teachers would assign some reading or math assignments on I ready and from time to time some homework. But yeah, that was about it. I would monitor how much time they were on Roblox and other things to entertain themselves, but it was easier control them back then because they didn't have to go on as much. I mean, that's what it was.",positive
gaming_group,1,1,2,"We thought that a good way to start might be if everyone could just grab a paper and pencil and try to write down three positive ways that technology has impacted you since the start of the pandemic, and two or three negative ways that technology has impacted you since the start of the pandemic. And then we'll talk about it.",3,"I would say the same thing. My daughter was in fifth grade, we would have a couple in Newsela projects, half an hour of homework. But we were in the playground, neighborhood friends, after school projects, after school swimming. A little bit of tablet on the weekends, but there was no internet access and there was no YouTube in my life, there was no Roblox, there was no gaming. So, a very different world.",positive
gaming_group,1,1,2,"We thought that a good way to start might be if everyone could just grab a paper and pencil and try to write down three positive ways that technology has impacted you since the start of the pandemic, and two or three negative ways that technology has impacted you since the start of the pandemic. And then we'll talk about it.",5,"I have a similar experience to Parent 3. My high schooler had a lot of his homework that he had to type and word process... I don't know if that's the right word, into Docs, but it wasn't a huge amount. It wasn't doing research, it wasn't hours and hours. My elementary school guy, he didn't have any homework on the computer at all. And my middle schooler had very little, like type this one thing or something like that. It was very little on the computer. And for myself, in terms of my family, I lock the video games so that there was very little access to video games during the week.",positive
gaming_group,1,1,2,"We thought that a good way to start might be if everyone could just grab a paper and pencil and try to write down three positive ways that technology has impacted you since the start of the pandemic, and two or three negative ways that technology has impacted you since the start of the pandemic. And then we'll talk about it.",5,"And then on the weekends there was an hour or something like that, it wasn't that much. There was no YouTube watching, like now YouTube consumes our life. My kids didn't even know how to use the features on our TV, the smart features, they didn't know they could access YouTube on it or anything like that. So it was very controlled and very little. I also had my children in a lot of afterschool activities. My older son was in an orchestra, he also was in a band, theater groups, there was a lot of afterschool activity. A lot of playing outside, a lot of going to the park and all that stuff. Yeah, so...",positive
